I want to block my card,cardagent
Please block my debit card,cardagent
Please sent me a new debit card,cardagent
Help my card got stolen,cardagent
My bank pass got stolen,cardagent
Can I get a new debitcard,cardagent
When will my card expire?,cardagent
When do I get a new card,cardagent
When will my debitcard expire?,cardagent
I've lost my debit card,cardagent
My debit card is stolen,cardagent
I want a new bank pass,cardagent
What are the cost for a new bank pass,cardagent
What are the costs for a new debit card,cardagent
I would like to receive a new debitcard,cardagent
Did you already sent me my new pass?,cardagent
Why does it take so long till I receive my new debit card,cardagent
Can I use my debit card overseas?,cardagent
Can I enable my pass for overseas?,cardagent
Can I use my debit card in other countries?,cardagent
I would like to transfer money,generalagent
I like to transfer money,generalagent
Transfer money to Germany,generalagent
IBAN 123213,generalagent
I would like to send money,generalagent
Send money,generalagent
Please send money,generalagent
Please transfer money,generalagent
What are the opening times of the bank?,generalagent
Is the website offline?,generalagent
Your website is down,generalagent
What's your phonenumber?,generalagent
How can I contact you?,generalagent
What is your address,generalagent
Are you located in Amsterdam,generalagent
How can I reach you,generalagent
Are you available on Whatsapp?,generalagent
On what hours can I reach you,generalagent
